ชื่อ,รหัส 9 หลักใหม่,รหัส 9 หลัก,รหัส 5 หลัก,เลขอนุญาตให้ประกอบสถานบริการสุขภาพ 11 หลัก,ประเภทองค์กร,ประเภทหน่วยบริการสุขภาพ,สังกัด,แผนก/กรม,ระดับโรงพยาบาล,เตียงที่ใช้จริง,สถานะการใช้งาน,เขตบริการ,health_region_id,ที่อยู่,code,จังหวัด,รหัสอำเภอ,อำเภอ/เขต,รหัสตำบล,ตำบล/แขวง,หมู่,รหัสไปรษณีย์,แม่ข่าย,วันที่ก่อตั้ง,วันที่ปิดบริการ,อัพเดตล่าสุด(เริ่ม 05/09/2566)
โรงพยาบาลไทรงาม,EA0011229,1122900,11229,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 3,3,1,62,กำแพงเพชร,6202,ไทรงาม,620201,ไทรงาม,4,62150,,,,6/12/2023
โรงพยาบาลเสริมงาม,EA0011148,1114800,11148,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,,52,ลำปาง,5204,เสริมงาม,520401,ทุ่งงาม,1,,,,,6/12/2023
คลินิกทันตกรรมและแพทย์แผนไทย สำนักงานสาธารณสุขจังหวัดอำนาจเจริญ,GA0077469,2501,77469,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 10,10,258,37,อำนาจเจริญ,3701,เมืองอำนาจเจริญ,370113,โนนหนามแท่ง,2,37000,สำนักงานสาธารณสุขจังหวัดอำนาจเจริญ,4/1/2021,,30/1/2024
สำนักงานสาธารณสุขจังหวัดนนทบุรี,AA0000002,200,2,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 4,4,ถ.รัตนาธิเบศร์,12,นนทบุรี,1201,เมืองนนทบุรี,120104,บางกระสอ,8,11000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดลำปาง,AA0000039,3900,39,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 1,1,3 ถ.ป่าขาม 1,52,ลำปาง,5201,เมืองลำปาง,520102,หัวเวียง,0,52000,,,,21/9/2023
โรงพยาบาลวัดสมานรัตนาราม (พุทธโสธร 2),GA0077467,1069704,77467,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,,24,ฉะเชิงเทรา,2401,เมืองฉะเชิงเทรา,240108,บางแก้ว,11,24000,โรงพยาบาลพุทธโสธร,4/12/2020,,30/1/2024
โรงพยาบาลบางปะกง,EA0010852,1085200,10852,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,90,กำลังใช้งาน,เขตสุขภาพที่ 6,6,142 ถนนบางนา-ตราด,24,ฉะเชิงเทรา,2404,บางปะกง,240401,บางปะกง,13,24130,,,,6/12/2023
โรงพยาบาลแม่ฟ้าหลวง,EA0011200,1120000,11200,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,200 บ้านห้วยหยวกหินแตก,57,เชียงราย,5715,แม่ฟ้าหลวง,571502,แม่สลองใน,1,57240,,,,26/12/2023
โรงพยาบาลพร้าว,EA0011127,1112700,11127,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 1,1,181,50,เชียงใหม่,5011,พร้าว,501101,เวียง,4,50190,,,,19/3/2024
โรงพยาบาลอำนาจเจริญ,EA0010703,1070300,10703,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,432,กำลังใช้งาน,เขตสุขภาพที่ 10,10,291 ถ.อรุณประเสริฐ,37,อำนาจเจริญ,3701,เมืองอำนาจเจริญ,370101,บุ่ง,6,37000,,,,27/8/2025
โรงพยาบาลชานุมาน,EA0010985,1098500,10985,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 10,10,176,37,อำนาจเจริญ,3702,ชานุมาน,370201,ชานุมาน,8,37240,,,,6/12/2023
โรงพยาบาลโพธิ์ไทร,EA0010958,1095800,10958,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 10,10,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,34,อุบลราชธานี,3421,โพธิ์ไทร,342101,โพธิ์ไทร,11,,,,,28/8/2025
โรงพยาบาลเวียงสา,EA0011177,1117700,11177,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,78,กำลังใช้งาน,เขตสุขภาพที่ 1,1,เลขที่ 131,55,น่าน,5507,เวียงสา,550701,กลางเวียง,11,55110,,,,19/3/2024
โรงพยาบาลแม่ตื่น,EA0006009,600900,6009,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,16,กำลังใช้งาน,เขตสุขภาพที่ 1,1,108,50,เชียงใหม่,5018,อมก๋อย,501803,แม่ตื่น,2,50310,,,,27/8/2025
โรงพยาบาลปากท่อ,EA0011276,1127600,11276,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 5,5,201/10,70,ราชบุรี,7008,ปากท่อ,700805,ปากท่อ,8,,,,,6/12/2023
โรงพยาบาลแม่ทะ,EA0011154,1115400,11154,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,33,กำลังใช้งาน,เขตสุขภาพที่ 1,1,289,52,ลำปาง,5210,แม่ทะ,521001,แม่ทะ,10,52150,,,,19/3/2024
ศูนย์บริการสาธารณสุขสำนักงานสาธารณสุขจังหวัดอุตรดิตถ์,GA0077503,4001,77503,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 2,2,2 ถนนฤดีเปรม,53,อุตรดิตถ์,5301,เมืองอุตรดิตถ์,530101,ท่าอิฐ,0,53000,สำนักงานสาธารณสุขจังหวัดอุตรดิตถ์,1/5/2018,,30/1/2024
สำนักงานสาธารณสุขจังหวัดอุตรดิตถ์,AA0000040,4000,40,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 2,2,130,53,อุตรดิตถ์,5308,ลับแล,530805,ชัยจุมพล,8,53000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดชุมพร,AA0000068,6800,68,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 11,11,ถ.ปรมินทรมรรคา,86,ชุมพร,8601,เมืองชุมพร,860101,ท่าตะเภา,0,86000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดสุราษฎร์ธานี,AA0000066,6600,66,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 11,11,8 ถ.การุณราษฎร์,84,สุราษฎร์ธานี,8401,เมืองสุราษฎร์ธานี,840101,ตลาด,0,84000,,,,31/8/2023
โรงพยาบาลโคกสำโรง,EA0010790,1079000,10790,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,123,กำลังใช้งาน,เขตสุขภาพที่ 4,4,54/15 ถนนสุระนารายณ์,16,ลพบุรี,1603,โคกสำโรง,160301,โคกสำโรง,5,15120,,,,27/8/2025
โรงพยาบาลแม่สาย,EA0011194,1119400,11194,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M1 - โรงพยาบาลทั่วไปขนาดเล็ก,156,กำลังใช้งาน,เขตสุขภาพที่ 1,1,101,57,เชียงราย,5709,แม่สาย,570906,เวียงพางคำ,10,57130,,,,19/3/2024
โรงพยาบาลไชยปราการ,EA0011137,1113700,11137,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,35,กำลังใช้งาน,เขตสุขภาพที่ 1,1,131 ถ.เชียงใหม่-ฝาง,50,เชียงใหม่,5021,ไชยปราการ,502102,ศรีดงเย็น,3,50320,,,,28/8/2025
โรงพยาบาลธัญบุรี,EA0010762,1076200,10762,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,120,กำลังใช้งาน,เขตสุขภาพที่ 4,4,,13,ปทุมธานี,1303,ธัญบุรี,130303,รังสิต,2,12110,,,,27/8/2025
โรงพยาบาลลาดหลุมแก้ว,EA0010765,1076500,10765,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,50,กำลังใช้งาน,เขตสุขภาพที่ 4,4,187,13,ปทุมธานี,1305,ลาดหลุมแก้ว,130501,ระแหง,4,12140,,,,27/8/2025
โรงพยาบาลท่าช้าง,EA0010801,1080100,10801,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,42,กำลังใช้งาน,เขตสุขภาพที่ 4,4,76/4,17,สิงห์บุรี,1705,ท่าช้าง,170502,โพประจักษ์,4,16140,,,,19/3/2024
โรงพยาบาลโพธิ์ทอง,EA0010785,1078500,10785,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,60,กำลังใช้งาน,เขตสุขภาพที่ 4,4,,15,อ่างทอง,1504,โพธิ์ทอง,150401,อ่างแก้ว,4,,,,,26/12/2023
โรงพยาบาลแกดำ,EA0011051,1105100,11051,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 7,7,155,44,มหาสารคาม,4402,แกดำ,440201,แกดำ,7,,,,,19/3/2024
โรงพยาบาลจตุรพักตรพิมาน,EA0011063,1106300,11063,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,65,กำลังใช้งาน,เขตสุขภาพที่ 7,7,165 ถ.ปัทมานนท์,45,ร้อยเอ็ด,4504,จตุรพักตรพิมาน,450401,หัวช้าง,4,45180,,,,19/3/2024
โรงพยาบาลพระอาจารย์มั่น ภูริทัตโต,EA0011097,1109700,11097,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,82,กำลังใช้งาน,เขตสุขภาพที่ 8,8,299,47,สกลนคร,4710,บ้านม่วง,471001,ม่วง,2,47140,,,,19/3/2024
โรงพยาบาลบ้านผือ,EA0011023,1102300,11023,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,137,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,41,อุดรธานี,4117,บ้านผือ,411701,บ้านผือ,2,41160,,,,28/8/2025
โรงพยาบาลชุมพวง,EA0010886,1088600,10886,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,65,กำลังใช้งาน,เขตสุขภาพที่ 9,9,2,30,นครราชสีมา,3017,ชุมพวง,301701,ชุมพวง,1,,,,,27/8/2025
โรงพยาบาลประทาย,EA0010882,1088200,10882,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,74,กำลังใช้งาน,เขตสุขภาพที่ 9,9,5,30,นครราชสีมา,3013,ประทาย,301301,ประทาย,13,,,,,27/8/2025
โรงพยาบาลบัวเชด,EA0010926,1092600,10926,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 9,9,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,32,สุรินทร์,3213,บัวเชด,321301,บัวเชด,1,,,,,28/8/2025
โรงพยาบาลสนม,EA0010921,1092100,10921,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,39,กำลังใช้งาน,เขตสุขภาพที่ 9,9,110 ถ.ศรีสนม,32,สุรินทร์,3208,สนม,320801,สนม,3,,,,,19/3/2024
โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา,EA0022302,2230200,22302,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 9,9,บ้านพนมดงรัก,32,สุรินทร์,3214,พนมดงรัก,321401,บักได,18,32140,,,,19/3/2024
โรงพยาบาลลานสกา,EA0011324,1132400,11324,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 11,11,,80,นครศรีธรรมราช,8003,ลานสกา,800301,เขาแก้ว,1,,,,,29/8/2025
โรงพยาบาลพิปูน,EA0011326,1132600,11326,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,33,กำลังใช้งาน,เขตสุขภาพที่ 11,11,,80,นครศรีธรรมราช,8005,พิปูน,800504,ยางค้อม,5,80270,,,,6/12/2023
โรงพยาบาลปะนาเระ,EA0011425,1142500,11425,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,94,ปัตตานี,9404,ปะนาเระ,940402,ท่าข้าม,1,,,,,19/3/2024
โรงพยาบาลละงู,EA0011405,1140500,11405,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,90,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,91,สตูล,9105,ละงู,910501,กำแพง,6,,,,,31/8/2025
โรงพยาบาลกุดรัง,EA0024704,2470400,24704,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 7,7,บ้านโสกขุ่น,44,มหาสารคาม,4412,กุดรัง,441201,กุดรัง,10,44130,,1/4/2011,,6/12/2023
โรงพยาบาลแม่เปิน,EA0043735,4373500,43735,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,0,กำลังใช้งาน,เขตสุขภาพที่ 3,3,,60,นครสวรรค์,6014,แม่เปิน,601401,แม่เปิน,5,60150,,,,6/12/2023
โรงพยาบาลมกุฏคีรีวัน,EA0077498,7749800,77498,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,13,กำลังใช้งาน,เขตสุขภาพที่ 9,9,32/3,30,นครราชสีมา,3021,ปากช่อง,302108,โป่งตาลอง,4,30130,,1/12/2018,,19/3/2024
ศูนย์การแพทย์เขาหลัก,GA0077495,6401,77495,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 11,11,56/136,82,พังงา,8205,ตะกั่วป่า,820507,คึกคัก,5,82190,สำนักงานสาธารณสุขจังหวัดพังงา,12/1/2018,,30/1/2024
โรงพยาบาลสบปราบ,EA0011155,1115500,11155,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,,52,ลำปาง,5211,สบปราบ,521101,สบปราบ,2,,,,,6/12/2023
โรงพยาบาลหนองบัว,EA0011211,1121100,11211,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 3,3,265/5,60,นครสวรรค์,6004,หนองบัว,600402,หนองกลับ,3,60110,,,,28/8/2025
สำนักงานสาธารณสุขจังหวัดนราธิวาส,AA0000075,7500,75,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 12,12,36,96,นราธิวาส,9601,เมืองนราธิวาส,960107,โคกเคียน,9,96000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดปทุมธานี,AA0000003,300,3,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 4,4,14 ถ.รัฐอำนวย,13,ปทุมธานี,1301,เมืองปทุมธานี,130101,บางปรอก,0,12000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดสระบุรี,AA0000009,900,9,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 4,4,56/9 ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน เทศบาล 3,19,สระบุรี,1901,เมืองสระบุรี,190101,ปากเพรียว,0,18000,,,,14/5/2024
สำนักงานสาธารณสุขจังหวัดเชียงราย,AA0000044,4400,44,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 1,1,424 บ้านหนองยาว,57,เชียงราย,5701,เมืองเชียงราย,570118,ท่าสาย,5,57000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดสมุทรปราการ,AA0000001,100,1,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,186/1 ถ.ยุทธดำเนิน,11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110101,ปากน้ำ,0,12070,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดขอนแก่น,AA0000027,2700,27,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 7,7,108 ถ.ศรีจันทร์,40,ขอนแก่น,4001,เมืองขอนแก่น,400101,ในเมือง,4,40000,,,,31/8/2023
โรงพยาบาลวชิระภูเก็ต สาขา หยี่เต้ง VACHIRA EXPRESS,GA0077752,1074102,77752,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 11,11,101/4 ถ.บางกอก,83,ภูเก็ต,8301,เมืองภูเก็ต,830102,ตลาดเหนือ,0,83000,โรงพยาบาลวชิระภูเก็ต,14/1/2011,,30/1/2024
สำนักงานสาธารณสุขจังหวัดพังงา,AA0000064,6400,64,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 11,11,649 ถ.เพชรเกษม,82,พังงา,8201,เมืองพังงา,820101,ท้ายช้าง,0,82000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดอุทัยธานี,AA0000047,4700,47,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 3,3,160,61,อุทัยธานี,6101,เมืองอุทัยธานี,610101,อุทัยใหม่,1,61000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดมหาสารคาม,AA0000031,3100,31,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 7,7,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,44,มหาสารคาม,4401,เมืองมหาสารคาม,440104,แวงน่าง,0,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดนครศรีธรรมราช,AA0000062,6200,62,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 11,11,184,80,นครศรีธรรมราช,8001,เมืองนครศรีธรรมราช,800118,โพธิ์เสด็จ,7,,,,,31/8/2023
โรงพยาบาลแม่ออน,EA0011139,1113900,11139,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,750,50,เชียงใหม่,5023,แม่ออน,502303,บ้านสหกรณ์,1,50130,,,,19/3/2024
สำนักงานสาธารณสุขจังหวัดบึงกาฬ,AA0024683,2468300,24683,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 8,8,650 บ้านวิศิษฐ์,38,บึงกาฬ,3801,เมืองบึงกาฬ,380110,วิศิษฐ์,7,38000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดอ่างทอง,AA0000005,500,5,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 4,4,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,15,อ่างทอง,1501,เมืองอ่างทอง,150108,บ้านอิฐ,0,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดระยอง,AA0000011,1100,11,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,142,21,ระยอง,2101,เมืองระยอง,210109,เนินพระ,2,21000,,,,31/8/2023
โรงพยาบาลกุยบุรี,EA0011315,1131500,11315,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 5,5,41/1 ถ.เพชรเกษม,77,ประจวบคีรีขันธ์,7702,กุยบุรี,770201,กุยบุรี,5,,,,,29/8/2025
สำนักงานสาธารณสุขจังหวัดนครนายก,AA0000016,1600,16,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 4,4,,26,นครนายก,2601,เมืองนครนายก,260112,เขาพระ,0,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดสระแก้ว,AA0000017,1700,17,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,,27,สระแก้ว,2701,เมืองสระแก้ว,270101,สระแก้ว,0,,,,,31/8/2023
